Navio: Suezmax T172
Cenário: Forte
Manobra: Entrada STS PGL3B Atrac. BE
Corrente: N 0.8nó 
Vento: SE 20nós 
Onda: 1.7m 10s SE 

zz vx vy vzz rudder_demanded propeller_demanded distance_midline distance_target
-160.05 3.85 -0.26 -0.0 0.0 0 -1.284 3950.525
-160.05 3.85 -0.26 -0.0 0.0 0 -1.292 3950.133
-160.05 3.85 -0.26 -0.0 0.0 0 -1.312 3949.747
-160.05 3.85 -0.26 -0.0 0.0 0 -1.332 3949.361
-160.05 3.85 -0.26 -0.0 0.0 0 -1.351 3948.975
-160.05 3.85 -0.26 -0.0 0.0 0 -1.361 3948.592
-160.05 3.85 -0.26 -0.0 0.0 0 -1.381 3948.206
-160.05 3.85 -0.26 -0.0 0.0 0 -1.401 3947.82
-160.05 3.85 -0.26 -0.0 0.0 0 -1.411 3947.437
-160.05 3.85 -0.26 -0.0 0.0 0 -1.431 3947.051
-160.05 3.85 -0.26 -0.0 0.0 0 -1.45 3946.665
-160.05 3.85 -0.26 -0.0 0.0 0 -1.468 3946.27
-160.05 3.85 -0.26 -0.0 0.0 0 -1.478 3945.886
-160.05 3.85 -0.26 -0.0 0.0 0 -1.498 3945.5
-160.05 3.85 -0.26 -0.0 0.0 0 -1.517 3945.115
-160.05 3.85 -0.26 -0.0 0.0 0 -1.527 3944.731
-160.05 3.85 -0.26 -0.0 0.0 0 -1.547 3944.345
-160.05 3.85 -0.26 -0.0 0.0 0 -1.567 3943.96
-160.05 3.85 -0.26 -0.0 0.0 0 -1.587 3943.574
-160.05 3.85 -0.26 -0.0 0.01 0 -1.597 3943.191
-160.05 3.85 -0.26 -0.0 0.01 0 -1.617 3942.805
-160.05 3.85 -0.26 -0.0 0.01 0 -1.636 3942.419
-160.05 3.85 -0.26 -0.0 0.01 0 -1.646 3942.036
-160.05 3.85 -0.26 -0.0 0.01 0 -1.664 3941.64
-160.05 3.85 -0.26 -0.0 0.01 0 -1.684 3941.254
-160.05 3.85 -0.26 -0.0 0.01 0 -1.694 3940.871
-160.05 3.85 -0.26 -0.0 0.01 0 -1.713 3940.485
-160.05 3.85 -0.26 -0.0 0.01 0 -1.733 3940.099
-160.05 3.85 -0.26 -0.0 0.01 0 -1.743 3939.716
-160.05 3.85 -0.26 -0.0 0.01 0 -1.763 3939.33
-160.05 3.85 -0.26 -0.0 0.01 0 -1.783 3938.944
-160.05 3.85 -0.26 -0.0 0.01 0 -1.793 3938.561
-160.05 3.85 -0.26 -0.0 0.01 0 -1.812 3938.175
-160.05 3.85 -0.26 -0.0 0.01 0 -1.832 3937.789
-160.05 3.85 -0.26 -0.0 0.01 0 -1.842 3937.406
-160.05 3.85 -0.26 -0.0 0.01 0 -1.862 3937.02
-160.05 3.85 -0.26 -0.0 0.01 0 -1.882 3936.634
-160.05 3.85 -0.26 -0.0 0.01 0 -1.892 3936.251
-160.05 3.85 -0.26 -0.0 0.01 0 -1.912 3935.865
-160.05 3.85 -0.26 -0.0 0.01 0 -1.931 3935.479
-160.05 3.84 -0.26 -0.0 0.01 0 -1.941 3935.096
-160.06 3.84 -0.26 -0.0 0.01 0 -1.961 3934.71
-160.06 3.84 -0.26 -0.0 0.01 0 -1.969 3934.317
-160.06 3.84 -0.26 -0.0 0.01 0 -1.989 3933.931
-160.06 3.84 -0.26 -0.0 0.01 0 -2.008 3933.546
-160.06 3.84 -0.26 -0.0 0.01 1 -2.018 3933.162
-160.06 3.84 -0.26 -0.0 0.01 1 -2.038 3932.777
-160.06 3.84 -0.26 -0.0 0.01 1 -2.058 3932.391
-160.06 3.84 -0.27 -0.0 0.01 1 -2.068 3932.007
-160.06 3.84 -0.27 -0.0 0.01 2 -2.088 3931.622
-160.06 3.84 -0.27 -0.0 0.01 2 -2.098 3931.238
-160.06 3.84 -0.27 -0.0 0.01 2 -2.118 3930.852
-160.06 3.84 -0.27 -0.0 0.01 2 -2.137 3930.467
-160.06 3.84 -0.27 -0.0 0.01 3 -2.147 3930.083
-160.06 3.84 -0.27 -0.0 0.01 3 -2.167 3929.697
-160.06 3.84 -0.27 -0.0 0.01 3 -2.187 3929.312
-160.06 3.84 -0.27 -0.0 0.01 3 -2.197 3928.928
-160.06 3.84 -0.27 -0.0 0.01 3 -2.217 3928.543
-160.06 3.84 -0.27 -0.0 0.01 3 -2.227 3928.159
-160.06 3.84 -0.27 -0.0 0.01 3 -2.246 3927.773
-160.06 3.84 -0.27 -0.0 0.01 3 -2.257 3927.39
-160.06 3.84 -0.27 -0.0 0.01 3 -2.276 3927.004
-160.06 3.84 -0.27 -0.0 0.01 3 -2.296 3926.618
-160.06 3.84 -0.27 -0.0 0.01 3 -2.306 3926.235
-160.06 3.84 -0.27 -0.0 0.01 3 -2.326 3925.849
-160.06 3.84 -0.27 -0.0 0.01 3 -2.336 3925.466
-160.06 3.84 -0.27 -0.0 0.01 3 -2.356 3925.08
-160.06 3.84 -0.27 -0.0 0.01 3 -2.375 3924.694
-160.06 3.84 -0.27 -0.0 0.01 3 -2.385 3924.311
-160.06 3.84 -0.27 -0.0 0.01 3 -2.405 3923.925
-160.06 3.84 -0.27 -0.0 0.01 3 -2.415 3923.542
-160.07 3.84 -0.27 -0.0 0.01 3 -2.435 3923.156
-160.07 3.84 -0.27 -0.0 0.01 3 -2.445 3922.773
-160.07 3.84 -0.27 -0.0 0.01 3 -2.465 3922.387
-160.07 3.84 -0.27 -0.0 0.01 3 -2.485 3922.001
-160.07 3.84 -0.27 -0.0 0.01 3 -2.495 3921.618
-160.07 3.84 -0.27 -0.0 0.01 3 -2.514 3921.232
-160.07 3.84 -0.27 -0.0 0.01 3 -2.524 3920.849
-160.07 3.84 -0.27 -0.0 0.01 3 -2.544 3920.463
-160.07 3.84 -0.27 -0.0 0.01 3 -2.554 3920.08
-160.07 3.84 -0.27 -0.0 0.01 3 -2.574 3919.694
-160.07 3.84 -0.27 -0.0 0.01 3 -2.584 3919.311
-160.07 3.84 -0.27 -0.0 0.01 3 -2.604 3918.925
-160.07 3.84 -0.27 -0.0 0.01 3 -2.614 3918.541
-160.07 3.84 -0.27 -0.0 0.01 3 -2.634 3918.156
-160.07 3.84 -0.27 -0.0 0.01 3 -2.653 3917.77
-160.07 3.84 -0.27 -0.0 0.01 3 -2.663 3917.386
-160.07 3.84 -0.27 -0.0 0.01 3 -2.683 3917.001
-160.07 3.84 -0.27 -0.0 0.01 3 -2.693 3916.617
-160.07 3.84 -0.27 -0.0 0.01 3 -2.713 3916.231
-160.07 3.84 -0.27 -0.0 0.01 3 -2.723 3915.848
-160.07 3.84 -0.27 -0.0 0.01 3 -2.743 3915.462
-160.07 3.84 -0.27 -0.0 0.01 3 -2.753 3915.079
-160.07 3.83 -0.27 -0.0 0.01 3 -2.773 3914.693
-160.07 3.83 -0.27 -0.0 0.01 3 -2.783 3914.31
-160.08 3.83 -0.27 -0.0 0.01 3 -2.802 3913.924
-160.08 3.83 -0.27 -0.0 0.01 3 -2.812 3913.541
-160.08 3.83 -0.27 -0.0 0.01 3 -2.832 3913.155
-160.08 3.83 -0.27 -0.0 0.01 3 -2.842 3912.772
-160.08 3.83 -0.27 -0.0 0.01 3 -2.862 3912.386
-160.08 3.83 -0.27 -0.0 0.01 3 -2.872 3912.003
-160.08 3.83 -0.27 -0.0 0.01 3 -2.892 3911.617
-160.08 3.83 -0.27 -0.0 0.01 3 -2.912 3911.231
-160.08 3.83 -0.27 -0.0 0.01 3 -2.922 3910.848
-160.08 3.83 -0.27 -0.0 0.01 3 -2.941 3910.462
-160.08 3.83 -0.27 -0.0 0.01 3 -2.951 3910.079
-160.08 3.83 -0.27 -0.0 0.01 3 -2.974 3909.702
-160.08 3.83 -0.27 -0.01 0.01 3 -2.984 3909.319
-160.08 3.83 -0.27 -0.01 0.01 3 -3.003 3908.933
-160.08 3.83 -0.27 -0.01 0.01 3 -3.013 3908.55
-160.08 3.83 -0.27 -0.01 0.01 3 -3.033 3908.164
-160.08 3.83 -0.27 -0.01 0.01 3 -3.043 3907.781
-160.08 3.83 -0.27 -0.01 0.01 3 -3.063 3907.395
-160.08 3.83 -0.27 -0.01 0.01 3 -3.073 3907.012
-160.08 3.83 -0.27 -0.01 0.01 3 -3.093 3906.626
-160.09 3.83 -0.27 -0.01 0.01 3 -3.103 3906.243
-160.09 3.83 -0.27 -0.01 0.01 3 -3.123 3905.857
-160.09 3.83 -0.27 -0.01 0.01 3 -3.135 3905.483
-160.09 3.83 -0.27 -0.01 0.01 3 -3.155 3905.097
-160.09 3.83 -0.27 -0.01 0.01 3 -3.165 3904.714
-160.09 3.83 -0.28 -0.01 0.01 3 -3.175 3904.331
-160.09 3.83 -0.28 -0.01 0.01 3 -3.195 3903.945
-160.09 3.83 -0.28 -0.01 -0.07 3 -3.205 3903.562
-160.09 3.83 -0.28 -0.01 -0.07 3 -3.224 3903.176
-160.09 3.83 -0.28 -0.01 -0.07 3 -3.234 3902.793
-160.09 3.83 -0.28 -0.01 -0.07 3 -3.254 3902.407
-160.09 3.83 -0.28 -0.01 -0.17 3 -3.264 3902.023
-160.09 3.83 -0.28 -0.01 -0.17 3 -3.274 3901.64
-160.09 3.83 -0.28 -0.01 -0.17 3 -3.294 3901.254
-160.09 3.83 -0.28 -0.01 -0.17 3 -3.304 3900.871
-160.09 3.83 -0.28 -0.01 -0.18 3 -3.324 3900.485
-160.09 3.83 -0.28 -0.01 -0.18 3 -3.334 3900.102
-160.09 3.83 -0.28 -0.01 -0.18 3 -3.344 3899.719
-160.1 3.83 -0.29 -0.01 -0.18 3 -3.364 3899.333
-160.1 3.83 -0.29 -0.01 -0.19 3 -3.374 3898.95
-160.1 3.83 -0.29 -0.01 -0.19 3 -3.384 3898.566
-160.1 3.83 -0.29 -0.01 -0.19 3 -3.404 3898.18
-160.1 3.83 -0.29 -0.01 -0.19 3 -3.414 3897.797
-160.1 3.84 -0.29 -0.01 -0.19 3 -3.424 3897.414
-160.1 3.84 -0.29 -0.01 -0.19 3 -3.443 3897.028
-160.1 3.84 -0.29 -0.0 -0.19 3 -3.453 3896.645
-160.1 3.84 -0.29 -0.0 -0.19 3 -3.463 3896.262
-160.1 3.84 -0.29 -0.0 -0.17 3 -3.483 3895.876
-160.1 3.84 -0.29 -0.0 -0.17 3 -3.493 3895.492
-160.1 3.84 -0.29 -0.0 -0.17 3 -3.503 3895.109
-160.1 3.84 -0.29 -0.0 -0.17 3 -3.523 3894.723
-160.1 3.84 -0.3 -0.0 -0.17 3 -3.533 3894.34
-160.1 3.84 -0.3 -0.0 -0.17 3 -3.541 3893.947
-160.1 3.84 -0.3 -0.0 -0.17 3 -3.551 3893.564
-160.1 3.84 -0.3 -0.0 -0.17 3 -3.571 3893.178
-160.1 3.84 -0.3 -0.0 -0.17 3 -3.581 3892.795
-160.1 3.84 -0.3 -0.0 -0.17 3 -3.591 3892.411
-160.1 3.84 -0.3 -0.0 -0.17 3 -3.61 3892.026
-160.1 3.84 -0.3 -0.0 -0.17 3 -3.62 3891.642
-160.1 3.84 -0.3 -0.0 -0.17 3 -3.628 3891.249
-160.1 3.84 -0.3 -0.0 -0.17 3 -3.638 3890.866
-160.1 3.84 -0.3 -0.0 -0.17 3 -3.658 3890.48
-160.11 3.85 -0.3 -0.0 -0.17 3 -3.668 3890.097
-160.11 3.85 -0.3 -0.0 -0.17 3 -3.678 3889.714
-160.11 3.85 -0.3 -0.0 -0.17 3 -3.688 3889.33
-160.11 3.85 -0.3 -0.0 -0.17 3 -3.706 3888.935
-160.11 3.85 -0.3 -0.0 -0.17 3 -3.716 3888.552
-160.11 3.85 -0.3 -0.0 -0.17 3 -3.726 3888.168
-160.11 3.85 -0.3 -0.0 -0.17 3 -3.745 3887.783
-160.11 3.85 -0.3 -0.0 -0.17 3 -3.755 3887.399
-160.11 3.85 -0.3 -0.0 -0.17 3 -3.763 3887.006
-160.11 3.85 -0.3 -0.0 -0.17 3 -3.773 3886.623
-160.11 3.85 -0.3 -0.0 -0.17 3 -3.793 3886.237
-160.11 3.85 -0.3 -0.0 -0.17 3 -3.803 3885.854
-160.11 3.85 -0.3 0.0 -0.17 3 -3.813 3885.471
-160.11 3.84 -0.3 0.0 -0.17 3 -3.833 3885.085
-160.11 3.84 -0.29 0.0 -0.17 3 -3.84 3884.692
-160.11 3.84 -0.29 0.0 -0.17 3 -3.85 3884.309
-160.11 3.84 -0.29 0.0 -0.17 3 -3.87 3883.923
-160.11 3.84 -0.29 0.0 -0.17 3 -3.88 3883.539
-160.11 3.84 -0.29 0.0 -0.17 3 -3.89 3883.156
-160.11 3.84 -0.29 0.0 -0.17 3 -3.91 3882.77
-160.11 3.84 -0.29 0.0 -0.17 3 -3.92 3882.387
-160.11 3.84 -0.29 0.0 -0.17 3 -3.93 3882.004
-160.1 3.84 -0.29 0.0 -0.17 3 -3.95 3881.618
-160.1 3.84 -0.29 0.0 -0.17 3 -3.958 3881.225
-160.1 3.84 -0.29 0.0 -0.17 3 -3.968 3880.842
-160.1 3.84 -0.29 0.0 -0.17 3 -3.987 3880.456
-160.1 3.83 -0.28 0.0 -0.17 3 -3.997 3880.073
-160.1 3.83 -0.28 0.0 -0.17 3 -4.007 3879.689
-160.1 3.83 -0.28 0.0 -0.17 3 -4.027 3879.304
-160.1 3.83 -0.28 0.01 -0.17 3 -4.037 3878.92
-160.1 3.83 -0.28 0.01 -0.17 3 -4.057 3878.534
-160.1 3.83 -0.28 0.01 -0.17 3 -4.067 3878.151
-160.1 3.83 -0.28 0.01 -0.17 3 -4.077 3877.768
