Navio: Suezmax T172
Cenário: Forte
Manobra: Entrada STS PGL3A Atrac. BE
Corrente: N 0.8nó 
Vento: SE 20nós 
Onda: 1.7m 10s SE 

x y zz vx vy vzz rudder_demanded propeller_demanded distance_port distance_starboard distance_target
9607.54 4961.57 -160.05 3.85 -0.26 -0.0 0.0 0 64.311 66.901 3950.525
9607.16 4961.47 -160.05 3.85 -0.26 -0.0 0.0 0 64.303 66.909 3950.133
9606.79 4961.36 -160.05 3.85 -0.26 -0.0 0.0 0 64.283 66.928 3949.747
9606.42 4961.25 -160.05 3.85 -0.26 -0.0 0.0 0 64.263 66.948 3949.361
9606.05 4961.14 -160.05 3.85 -0.26 -0.0 0.0 0 64.243 66.968 3948.975
9605.68 4961.04 -160.05 3.85 -0.26 -0.0 0.0 0 64.233 66.978 3948.592
9605.31 4960.93 -160.05 3.85 -0.26 -0.0 0.0 0 64.214 66.997 3948.206
9604.94 4960.82 -160.05 3.85 -0.26 -0.0 0.0 0 64.194 67.017 3947.82
9604.57 4960.72 -160.05 3.85 -0.26 -0.0 0.0 0 64.184 67.027 3947.437
9604.2 4960.61 -160.05 3.85 -0.26 -0.0 0.0 0 64.164 67.047 3947.051
9603.83 4960.5 -160.05 3.85 -0.26 -0.0 0.0 0 64.144 67.067 3946.665
9603.45 4960.39 -160.05 3.85 -0.26 -0.0 0.0 0 64.127 67.084 3946.27
9603.08 4960.29 -160.05 3.85 -0.26 -0.0 0.0 0 64.117 67.094 3945.886
9602.71 4960.18 -160.05 3.85 -0.26 -0.0 0.0 0 64.097 67.114 3945.5
9602.34 4960.07 -160.05 3.85 -0.26 -0.0 0.0 0 64.077 67.134 3945.115
9601.97 4959.97 -160.05 3.85 -0.26 -0.0 0.0 0 64.067 67.144 3944.731
9601.6 4959.86 -160.05 3.85 -0.26 -0.0 0.0 0 64.047 67.163 3944.345
9601.23 4959.75 -160.05 3.85 -0.26 -0.0 0.0 0 64.027 67.183 3943.96
9600.86 4959.64 -160.05 3.85 -0.26 -0.0 0.0 0 64.008 67.203 3943.574
9600.49 4959.54 -160.05 3.85 -0.26 -0.0 0.0 0 63.998 67.213 3943.191
9600.12 4959.43 -160.05 3.85 -0.26 -0.0 0.0 0 63.978 67.232 3942.805
9599.75 4959.32 -160.05 3.85 -0.26 -0.0 0.0 0 63.958 67.252 3942.419
9599.38 4959.22 -160.05 3.85 -0.26 -0.0 0.0 0 63.948 67.262 3942.036
9599.0 4959.11 -160.05 3.85 -0.26 -0.0 0.0 0 63.93 67.28 3941.64
9598.63 4959.0 -160.05 3.85 -0.26 -0.0 0.0 0 63.911 67.299 3941.254
9598.26 4958.9 -160.05 3.85 -0.26 -0.0 0.0 0 63.901 67.309 3940.871
9597.89 4958.79 -160.05 3.85 -0.26 -0.0 0.0 0 63.881 67.329 3940.485
9597.52 4958.68 -160.05 3.85 -0.26 -0.0 0.0 0 63.861 67.349 3940.099
9597.15 4958.58 -160.05 3.85 -0.26 -0.0 0.0 0 63.851 67.359 3939.716
9596.78 4958.47 -160.05 3.85 -0.26 -0.0 0.0 0 63.831 67.379 3939.33
9596.41 4958.36 -160.05 3.85 -0.26 -0.0 0.0 0 63.811 67.398 3938.944
9596.04 4958.26 -160.05 3.85 -0.26 -0.0 0.0 0 63.801 67.408 3938.561
9595.67 4958.15 -160.05 3.85 -0.26 -0.0 0.0 0 63.781 67.428 3938.175
9595.3 4958.04 -160.05 3.85 -0.26 -0.0 0.0 0 63.762 67.448 3937.789
9594.93 4957.94 -160.05 3.85 -0.26 -0.0 0.0 0 63.752 67.458 3937.406
9594.56 4957.83 -160.05 3.85 -0.26 -0.0 0.0 0 63.732 67.477 3937.02
9594.19 4957.72 -160.05 3.85 -0.26 -0.0 0.0 0 63.712 67.497 3936.634
9593.82 4957.62 -160.05 3.85 -0.26 -0.0 0.0 0 63.702 67.507 3936.251
9593.45 4957.51 -160.05 3.85 -0.26 -0.0 0.0 0 63.682 67.527 3935.865
9593.08 4957.4 -160.05 3.85 -0.26 -0.0 0.0 0 63.662 67.547 3935.479
9592.71 4957.3 -160.05 3.84 -0.26 -0.0 0.0 0 63.652 67.557 3935.096
9592.34 4957.19 -160.05 3.84 -0.26 -0.0 0.0 0 63.632 67.576 3934.71
9591.96 4957.09 -160.06 3.84 -0.26 -0.0 0.0 0 63.648 67.608 3934.317
9591.59 4956.98 -160.06 3.84 -0.26 -0.0 0.0 0 63.629 67.628 3933.931
9591.22 4956.87 -160.06 3.84 -0.26 -0.0 0.0 0 63.609 67.647 3933.546
9590.85 4956.77 -160.06 3.84 -0.26 -0.0 0.0 0 63.599 67.657 3933.162
9590.48 4956.66 -160.06 3.84 -0.26 -0.0 0.0 0 63.579 67.677 3932.777
9590.11 4956.55 -160.06 3.84 -0.26 -0.0 0.0 0 63.559 67.697 3932.391
9589.74 4956.45 -160.06 3.84 -0.27 -0.0 0.0 0 63.549 67.707 3932.007
9589.37 4956.34 -160.06 3.84 -0.27 -0.0 0.0 0 63.529 67.726 3931.622
9589.0 4956.24 -160.06 3.84 -0.27 -0.0 0.0 0 63.519 67.736 3931.238
9588.63 4956.13 -160.06 3.84 -0.27 -0.0 0.0 0 63.499 67.756 3930.852
9588.26 4956.02 -160.06 3.84 -0.27 -0.0 0.0 0 63.48 67.776 3930.467
9587.89 4955.92 -160.06 3.84 -0.27 -0.0 0.0 0 63.47 67.786 3930.083
9587.52 4955.81 -160.06 3.84 -0.27 -0.0 0.0 0 63.45 67.806 3929.697
9587.15 4955.71 -160.06 3.84 -0.27 -0.0 0.0 0 63.44 67.816 3929.314
9586.78 4955.6 -160.06 3.84 -0.27 -0.0 0.0 1 63.42 67.835 3928.928
9586.41 4955.49 -160.06 3.84 -0.27 -0.0 0.0 1 63.4 67.855 3928.543
9586.04 4955.39 -160.06 3.84 -0.27 -0.0 0.0 1 63.39 67.865 3928.159
9585.67 4955.28 -160.06 3.84 -0.27 -0.0 0.0 1 63.37 67.885 3927.773
9585.3 4955.18 -160.06 3.84 -0.27 -0.0 0.0 2 63.36 67.895 3927.39
