Navio: Conteneiro 336B48
Cenário: Médio 10 nós
Manobra: Entrada TECON
Corrente: N 0.5nó 
Vento: SE 10nós 
Onda: 1.0m 8s SE 

time_stamp zz vx vy vzz rudder_demanded propeller_demanded distance_midline distance_target cog sog
0.0 -160.0 3.6 -0.0 -0.0 0.0 0 8.485 3485.241 -160.0 3.6
0.1 -160.0 3.6 -0.0 -0.0 0.0 0 8.447 3484.881 -160.0 3.6
0.2 -160.0 3.6 -0.0 -0.0 0.0 0 8.4 3484.519 -160.0 3.6
0.3 -160.0 3.6 -0.0 -0.0 0.0 0 8.359 3484.169 -160.0 3.6
0.4 -160.0 3.6 -0.0 -0.0 0.0 0 8.321 3483.81 -160.0 3.6
0.5 -160.0 3.6 -0.0 -0.0 0.0 0 8.274 3483.447 -160.0 3.6
0.6 -160.0 3.6 -0.0 -0.01 0.0 0 8.236 3483.088 -160.0 3.6
0.7 -160.0 3.6 -0.0 -0.01 0.0 0 8.198 3482.728 -160.0 3.6
0.8 -160.0 3.6 -0.01 -0.01 0.0 0 8.158 3482.378 -160.159 3.6
0.9 -160.0 3.6 -0.01 -0.01 0.0 0 8.11 3482.016 -160.159 3.6
1.0 -160.0 3.6 -0.01 -0.01 0.0 0 8.073 3481.656 -160.159 3.6
1.1 -160.01 3.6 -0.01 -0.01 0.0 0 8.035 3481.297 -160.169 3.6
1.2 -160.01 3.6 -0.01 -0.01 0.0 0 7.997 3480.937 -160.169 3.6
1.3 -160.01 3.6 -0.01 -0.01 0.0 0 7.949 3480.575 -160.169 3.6
1.4 -160.01 3.6 -0.01 -0.01 0.0 0 7.909 3480.225 -160.169 3.6
1.5 -160.01 3.6 -0.01 -0.01 0.0 0 7.871 3479.866 -160.169 3.6
1.6 -160.01 3.6 -0.01 -0.01 0.0 0 7.833 3479.506 -160.169 3.6
1.7 -160.01 3.6 -0.01 -0.01 0.0 0 7.796 3479.146 -160.169 3.6
1.8 -160.01 3.6 -0.01 -0.01 0.0 0 7.748 3478.784 -160.169 3.6
1.9 -160.01 3.59 -0.01 -0.01 0.0 0 7.71 3478.425 -160.17 3.59
2.0 -160.02 3.59 -0.01 -0.01 0.0 0 7.67 3478.075 -160.18 3.59
2.1 -160.02 3.59 -0.01 -0.01 0.0 0 7.632 3477.715 -160.18 3.59
2.2 -160.02 3.59 -0.01 -0.02 0.0 0 7.594 3477.355 -160.18 3.59
2.3 -160.02 3.59 -0.01 -0.02 0.0 0 7.556 3476.996 -160.18 3.59
2.4 -160.02 3.59 -0.01 -0.02 0.0 0 7.509 3476.634 -160.18 3.59
2.5 -160.02 3.59 -0.01 -0.02 0.0 0 7.469 3476.284 -160.18 3.59
2.6 -160.03 3.59 -0.01 -0.02 0.0 0 7.431 3475.924 -160.19 3.59
2.7 -160.03 3.59 -0.01 -0.02 0.0 0 7.393 3475.565 -160.19 3.59
2.8 -160.03 3.59 -0.02 -0.02 0.0 0 7.355 3475.205 -160.349 3.59
2.9 -160.03 3.59 -0.02 -0.02 0.0 0 7.317 3474.845 -160.349 3.59
3.0 -160.03 3.59 -0.02 -0.02 0.0 0 7.279 3474.486 -160.349 3.59
3.1 -160.03 3.59 -0.02 -0.02 0.0 0 7.229 3474.133 -160.349 3.59
3.2 -160.04 3.59 -0.02 -0.02 0.0 0 7.192 3473.774 -160.359 3.59
3.3 -160.04 3.59 -0.02 -0.02 0.0 0 7.154 3473.414 -160.359 3.59
3.4 -160.04 3.59 -0.02 -0.02 0.0 0 7.116 3473.054 -160.359 3.59
3.5 -160.04 3.59 -0.02 -0.02 0.0 0 7.078 3472.695 -160.359 3.59
3.6 -160.05 3.59 -0.02 -0.02 0.0 0 7.038 3472.345 -160.369 3.59
3.7 -160.05 3.59 -0.02 -0.02 0.0 0 7.0 3471.985 -160.369 3.59
3.8 -160.05 3.59 -0.02 -0.02 0.0 0 6.962 3471.626 -160.369 3.59
3.9 -160.05 3.59 -0.02 -0.03 0.0 0 6.924 3471.266 -160.369 3.59
4.0 -160.06 3.59 -0.02 -0.03 0.0 0 6.886 3470.907 -160.379 3.59
4.1 -160.06 3.59 -0.02 -0.03 0.0 0 6.846 3470.557 -160.379 3.59
4.2 -160.06 3.59 -0.02 -0.03 0.0 0 6.808 3470.197 -160.379 3.59
4.3 -160.06 3.59 -0.02 -0.03 0.0 0 6.771 3469.838 -160.379 3.59
4.4 -160.07 3.59 -0.02 -0.03 0.0 0 6.733 3469.478 -160.389 3.59
4.5 -160.07 3.59 -0.02 -0.03 0.0 0 6.695 3469.118 -160.389 3.59
4.6 -160.07 3.59 -0.02 -0.03 0.0 0 6.657 3468.759 -160.389 3.59
4.7 -160.08 3.59 -0.02 -0.03 0.0 0 6.617 3468.409 -160.399 3.59
4.8 -160.08 3.59 -0.02 -0.03 0.0 0 6.579 3468.049 -160.399 3.59
4.9 -160.08 3.59 -0.03 -0.03 0.0 0 6.541 3467.69 -160.559 3.59
5.0 -160.08 3.59 -0.03 -0.03 0.0 0 6.503 3467.33 -160.559 3.59
5.1 -160.09 3.59 -0.03 -0.03 0.0 0 6.465 3466.971 -160.569 3.59
5.2 -160.09 3.59 -0.03 -0.03 0.0 0 6.425 3466.621 -160.569 3.59
5.3 -160.09 3.59 -0.03 -0.03 0.0 0 6.387 3466.261 -160.569 3.59
5.4 -160.1 3.59 -0.03 -0.03 0.0 0 6.35 3465.901 -160.579 3.59
5.5 -160.1 3.59 -0.03 -0.03 0.0 0 6.312 3465.542 -160.579 3.59
5.6 -160.1 3.59 -0.03 -0.03 0.0 0 6.274 3465.182 -160.579 3.59
5.7 -160.11 3.59 -0.03 -0.03 0.0 0 6.236 3464.823 -160.589 3.59
5.8 -160.11 3.59 -0.03 -0.03 0.0 0 6.196 3464.473 -160.589 3.59
5.9 -160.11 3.59 -0.03 -0.03 0.0 0 6.158 3464.113 -160.589 3.59
6.0 -160.12 3.59 -0.03 -0.04 0.0 0 6.12 3463.754 -160.599 3.59
6.1 -160.12 3.59 -0.03 -0.04 0.0 0 6.082 3463.394 -160.599 3.59
6.2 -160.12 3.59 -0.03 -0.04 0.0 0 6.044 3463.034 -160.599 3.59
6.3 -160.13 3.59 -0.03 -0.04 0.0 0 6.007 3462.675 -160.609 3.59
6.4 -160.13 3.59 -0.03 -0.04 0.0 0 5.976 3462.328 -160.609 3.59
6.5 -160.14 3.59 -0.03 -0.04 0.0 0 5.938 3461.968 -160.619 3.59
6.6 -160.14 3.59 -0.03 -0.04 0.0 0 5.9 3461.608 -160.619 3.59
6.7 -160.14 3.59 -0.03 -0.04 0.0 0 5.863 3461.249 -160.619 3.59
6.8 -160.15 3.59 -0.03 -0.04 0.0 0 5.825 3460.889 -160.629 3.59
6.9 -160.15 3.59 -0.03 -0.04 0.0 0 5.787 3460.53 -160.629 3.59
7.0 -160.15 3.59 -0.03 -0.04 0.0 0 5.747 3460.18 -160.629 3.59
7.1 -160.16 3.59 -0.03 -0.04 0.0 0 5.709 3459.82 -160.639 3.59
7.2 -160.16 3.59 -0.03 -0.04 0.0 0 5.681 3459.463 -160.639 3.59
7.3 -160.17 3.58 -0.04 -0.04 0.0 0 5.643 3459.104 -160.81 3.58
7.4 -160.17 3.58 -0.04 -0.04 0.0 0 5.605 3458.744 -160.81 3.58
7.5 -160.17 3.58 -0.04 -0.04 0.0 0 5.567 3458.385 -160.81 3.58
7.6 -160.18 3.58 -0.04 -0.04 0.0 0 5.527 3458.035 -160.82 3.58
7.7 -160.18 3.58 -0.04 -0.04 0.0 0 5.489 3457.675 -160.82 3.58
7.8 -160.19 3.58 -0.04 -0.04 0.0 0 5.461 3457.318 -160.83 3.58
7.9 -160.19 3.58 -0.04 -0.04 0.0 0 5.423 3456.959 -160.83 3.58
8.0 -160.2 3.58 -0.04 -0.04 0.0 0 5.385 3456.599 -160.84 3.58
8.1 -160.2 3.58 -0.04 -0.04 0.0 0 5.347 3456.239 -160.84 3.58
8.2 -160.2 3.58 -0.04 -0.04 0.0 0 5.319 3455.882 -160.84 3.58
8.3 -160.21 3.58 -0.04 -0.04 0.0 0 5.279 3455.532 -160.85 3.58
8.4 -160.21 3.58 -0.04 -0.04 0.0 0 5.241 3455.173 -160.85 3.58
8.5 -160.22 3.58 -0.04 -0.04 0.0 0 5.203 3454.813 -160.86 3.58
8.6 -160.22 3.58 -0.04 -0.04 0.0 0 5.175 3454.456 -160.86 3.58
8.7 -160.23 3.58 -0.04 -0.04 0.0 0 5.137 3454.097 -160.87 3.58
8.8 -160.23 3.58 -0.04 -0.04 0.0 0 5.1 3453.737 -160.87 3.58
8.9 -160.23 3.58 -0.04 -0.04 0.0 0 5.062 3453.378 -160.87 3.58
9.0 -160.24 3.58 -0.04 -0.04 0.0 0 5.031 3453.03 -160.88 3.58
9.1 -160.24 3.58 -0.04 -0.04 0.0 0 4.993 3452.671 -160.88 3.58
9.2 -160.25 3.58 -0.05 -0.04 0.0 0 4.956 3452.311 -161.05 3.58
9.3 -160.25 3.59 -0.05 -0.04 0.0 0 4.927 3451.954 -161.048 3.59
9.4 -160.26 3.59 -0.05 -0.04 0.0 0 4.89 3451.595 -161.058 3.59
9.5 -160.26 3.59 -0.05 -0.04 0.0 0 4.852 3451.235 -161.058 3.59
9.6 -160.27 3.59 -0.05 -0.04 0.0 0 4.824 3450.878 -161.068 3.59
9.7 -160.27 3.59 -0.05 -0.04 0.0 0 4.786 3450.519 -161.068 3.59
9.8 -160.27 3.59 -0.05 -0.04 0.0 0 4.748 3450.159 -161.068 3.59
9.9 -160.28 3.59 -0.05 -0.04 0.0 0 4.72 3449.802 -161.078 3.59
10.0 -160.28 3.59 -0.05 -0.04 0.0 0 4.682 3449.443 -161.078 3.59
10.1 -160.29 3.59 -0.05 -0.04 0.0 0 4.644 3449.083 -161.088 3.59
10.2 -160.29 3.59 -0.05 -0.04 0.0 0 4.616 3448.726 -161.088 3.59
10.3 -160.29 3.59 -0.06 -0.04 0.0 0 4.578 3448.366 -161.248 3.591
10.4 -160.3 3.59 -0.06 -0.04 0.0 0 4.548 3448.019 -161.258 3.591
10.5 -160.3 3.59 -0.06 -0.04 0.0 0 4.51 3447.66 -161.258 3.591
10.6 -160.31 3.59 -0.06 -0.04 0.0 0 4.482 3447.303 -161.268 3.591
10.7 -160.31 3.59 -0.06 -0.04 0.0 0 4.444 3446.943 -161.268 3.591
10.8 -160.32 3.59 -0.06 -0.04 0.0 0 4.406 3446.584 -161.278 3.591
10.9 -160.32 3.59 -0.06 -0.04 0.0 0 4.378 3446.227 -161.278 3.591
11.0 -160.32 3.59 -0.06 -0.04 0.0 0 4.34 3445.867 -161.278 3.591
11.1 -160.33 3.59 -0.06 -0.04 0.0 0 4.312 3445.51 -161.288 3.591
11.2 -160.33 3.59 -0.06 -0.04 0.0 0 4.276 3445.141 -161.288 3.591
11.3 -160.34 3.59 -0.06 -0.04 0.0 0 4.248 3444.784 -161.298 3.591
11.4 -160.34 3.59 -0.07 -0.04 0.0 0 4.21 3444.424 -161.457 3.591
11.5 -160.35 3.59 -0.07 -0.04 0.0 1 4.182 3444.067 -161.467 3.591
11.6 -160.35 3.59 -0.07 -0.04 0.0 1 4.154 3443.71 -161.467 3.591
11.7 -160.35 3.59 -0.07 -0.04 0.0 1 4.116 3443.351 -161.467 3.591
11.8 -160.36 3.59 -0.07 -0.05 0.0 1 4.088 3442.994 -161.477 3.591
11.9 -160.36 3.59 -0.07 -0.05 0.0 1 4.05 3442.634 -161.477 3.591
12.0 -160.37 3.59 -0.07 -0.05 0.0 1 4.022 3442.277 -161.487 3.591
12.1 -160.37 3.59 -0.07 -0.05 0.0 1 3.984 3441.918 -161.487 3.591
12.2 -160.38 3.59 -0.07 -0.05 0.0 1 3.956 3441.561 -161.497 3.591
12.3 -160.38 3.59 -0.07 -0.05 0.0 1 3.928 3441.204 -161.497 3.591
