Navio: Capesize L300B50T10.3
Cenário: SE Forte - pos2035 - 1
Manobra: Entrada e Atracação Cocaia
Corrente: 0.8 kn N 
Vento: 15 kn SSE 
Onda: 1.7m 10s SE 

time_stamp x y zz vx vy vzz rudder_demanded_orientation_0 propeller_demanded_0 distance_port distance_starboard distance_target
0.0 8705.91 4701.41 -168.0 3.08 -0.0 -0.0 0.0 0 31.599 118.432 3012.375
0.1 8705.61 4701.35 -168.0 3.08 -0.0 -0.0 0.0 0 31.61 118.42 3012.069
0.2 8705.3 4701.28 -168.0 3.08 -0.0 -0.0 0.0 0 31.613 118.415 3011.752
0.3 8705.0 4701.22 -168.0 3.08 -0.0 -0.0 0.0 0 31.623 118.404 3011.446
0.4 8704.7 4701.15 -168.0 3.08 -0.0 -0.0 0.0 0 31.624 118.402 3011.138
0.5 8704.4 4701.09 -168.0 3.08 -0.0 -0.0 0.0 0 31.635 118.39 3010.833
0.6 8704.1 4701.03 -168.0 3.08 -0.0 -0.0 0.0 0 31.645 118.378 3010.527
0.7 8703.8 4700.96 -168.0 3.08 -0.0 -0.0 0.0 0 31.646 118.376 3010.219
0.8 8703.5 4700.9 -168.0 3.08 -0.0 -0.0 0.0 0 31.657 118.364 3009.914
0.9 8703.19 4700.83 -168.01 3.08 -0.0 -0.0 0.0 0 31.634 118.333 3009.596
1.0 8702.89 4700.77 -168.01 3.08 -0.0 -0.0 0.0 0 31.645 118.322 3009.291
1.1 8702.59 4700.71 -168.01 3.08 -0.0 -0.0 0.0 0 31.655 118.31 3008.985
1.2 8702.29 4700.64 -168.01 3.08 -0.0 -0.0 0.0 0 31.656 118.308 3008.677
1.3 8701.99 4700.58 -168.01 3.07 -0.0 -0.0 0.0 0 31.667 118.296 3008.372
1.4 8701.69 4700.52 -168.01 3.07 -0.0 -0.0 0.0 0 31.677 118.284 3008.066
1.5 8701.39 4700.45 -168.01 3.07 -0.0 -0.0 0.0 0 31.678 118.282 3007.758
1.6 8701.09 4700.39 -168.01 3.07 -0.0 -0.0 0.0 0 31.689 118.27 3007.453
1.7 8700.79 4700.33 -168.01 3.07 -0.0 -0.0 0.0 0 31.7 118.258 3007.147
